avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,tenure
253,management,,0.749849531,3,,high,0.708264601,3
206,engineering,,0.835228837,6,,medium,0.594842662,6
191,marketing,,,4,,medium,0.380337921,2
162,IT,,0.774765731,3,,high,0.599631079,2
182,sales,,,3,,low,0.599962654,2
223,sales,,0.59524888,5,,low,0.857215138,3
292,sales,,0.764843985,6,,medium,0.148584696,4
168,engineering,,,4,,low,0.714431146,3
215,sales,,0.591860778,4,,low,0.591568346,2
193,engineering,,0.803746881,5,,high,0.917416632,4
178,engineering,1,0.743453283,3,,low,0.191850095,3
143,support,,0.776198908,5,,medium,0.538103833,5
236,engineering,,0.978723171,3,,medium,0.172567,3
191,engineering,,0.881360772,3,,low,0.711844375,4
212,engineering,,0.598742072,2,,medium,0.814787234,2
255,IT,,0.977084893,3,,low,0.951893142,3
259,engineering,,0.876943427,6,,medium,0.078789038,4
272,sales,,0.799187584,5,,low,0.20781705,2
192,marketing,1,0.759710576,3,,low,0.615641413,3
151,sales,,0.51506155,2,,low,0.364744157,3
181,sales,,0.580317339,4,,medium,0.830063438,2
167,,,,3,,low,0.928461275,3
239,sales,,0.859589455,5,,low,0.807596406,5
277,engineering,,0.978015677,6,,low,0.145738957,5
212,sales,,0.601091873,6,,medium,0.896396418,2
191,IT,,0.624027972,3,,high,0.537310197,3
168,support,,0.525300817,4,,low,0.505610043,8
160,product,,0.491377477,3,,medium,0.521366402,3
244,engineering,,0.686772955,5,,low,0.879975492,2
277,IT,,0.958933682,2,,medium,0.77060482,3
239,sales,1,0.877824351,2,,medium,1,6
114,support,,0.846138479,6,,high,0.735802675,4
183,marketing,,0.577495303,4,,low,1,3
137,,,0.571708538,3,,medium,0.712354395,3
230,engineering,,0.515942347,4,,medium,0.701417366,3
260,engineering,,0.884551601,6,,medium,0.405578858,3
100,sales,,0.676394239,6,,medium,0.2809878,4
243,engineering,,0.711227664,5,,low,0.830001339,2
222,product,,0.939337447,5,,low,0.814844871,6
128,engineering,,0.495993524,2,,medium,0.447345576,3
235,engineering,,0.658330803,3,,low,0.836560325,10
273,support,,0.527794816,2,,low,0.946442221,3
142,engineering,,0.839474888,4,,high,0.98221429,10
157,sales,,,2,,low,0.437279263,3
244,support,,0.92965769,7,,low,0.116044848,4
226,sales,,0.860300963,4,,medium,0.790596706,5
134,engineering,,0.41155364,2,,medium,0.435726716,3
179,,,0.588933757,5,,low,0.4124177,5
235,sales,,0.760609399,4,,medium,0.920799037,6
129,sales,,0.554484946,2,,low,0.452822777,3
142,sales,,0.875330895,3,,medium,0.961843912,4
164,support,,0.548967495,3,,low,0.695223657,6
243,sales,,0.64255015,3,,low,0.705704344,3
156,support,,0.639751084,5,,medium,0.66447304,2
233,sales,,0.803133829,6,,low,0.805274608,6
218,marketing,,0.56248347,4,,medium,0.285758512,5
229,management,,1,5,,low,0.730708142,5
262,engineering,,0.961219231,5,,low,0.853950492,5
164,sales,,0.516957267,3,,medium,0.715521337,7
142,sales,,,2,,low,0.4390112,3
258,sales,,1,2,,medium,0.957386175,3
156,support,,0.814877107,4,,low,0.734529012,2
141,sales,,0.716308463,4,,low,0.298746342,2
147,product,,0.568672097,2,,medium,0.402472261,3
194,sales,1,0.71934261,5,,medium,0.922843448,4
130,sales,,0.523649547,2,,low,0.401023014,3
297,,,0.86067626,6,,medium,0.064418238,4
218,finance,1,0.709826933,3,,medium,0.951329969,3
271,sales,,0.857754408,5,,low,0.145625526,4
214,management,,0.518390368,4,1,medium,0.762576382,3
243,sales,1,0.929090046,3,,medium,0.656203909,3
135,support,,0.453758599,2,,low,0.368156157,3
139,engineering,,0.43198775,2,,low,0.454706091,3
230,product,,0.634194167,3,,low,0.737685471,2
196,procurement,,0.670573058,3,,low,0.53969071,3
255,support,,0.978825213,5,,medium,0.948763829,4
185,support,,0.590048252,5,,low,1,2
155,sales,,0.593172102,3,,low,0.532490523,3
190,sales,,0.630348598,3,,medium,0.61371439,10
218,management,,0.753331271,3,,medium,0.460528801,4
179,sales,,0.864800174,3,,medium,0.92509792,2
251,engineering,,0.995348176,4,,low,0.975061169,6
157,engineering,,0.953805733,3,,medium,0.857656303,2
169,IT,,0.881782422,4,,medium,0.61282544,6
229,marketing,,,3,,low,0.637902895,3
228,support,,0.823687802,4,,low,0.802836129,5
260,sales,,0.880018964,4,,low,0.922970389,3
148,IT,,0.826260557,3,,low,0.779964015,3
158,engineering,,0.47739425,2,,low,0.460323036,3
214,management,,0.521914549,4,1,medium,0.695050045,3
270,sales,,0.962238053,2,,low,0.927656638,4
200,IT,1,0.77835559,4,,medium,0.615454809,3
129,support,,0.490169042,2,,low,0.381074802,3
269,sales,1,0.99444515,3,,medium,0.65798948,3
275,IT,,0.578774808,3,,high,0.581680272,2
238,sales,1,,2,,low,0.944709811,2
217,marketing,1,0.935453233,6,,medium,0.200058441,6
135,management,,0.901557781,5,,medium,0.721724934,3
247,management,,0.921809142,4,,medium,0.955862206,2
140,sales,,0.449662615,4,,low,0.990810127,3
208,management,,0.564080183,4,1,high,0.940906822,7
187,sales,,0.864755358,3,,low,0.978128163,2
148,product,,0.977732671,5,,low,0.991643604,3
233,support,1,0.775184581,4,,low,0.812547117,4
217,management,,0.607654397,5,,high,0.851811161,3
193,sales,,0.879149457,4,,medium,0.710450197,3
164,sales,,0.563741388,2,,low,0.403672473,2
225,support,,0.714337814,4,,low,0.161207792,5
183,finance,1,0.882880116,5,,medium,0.768969755,3
202,marketing,,0.583231865,5,,medium,0.540405883,2
231,engineering,,0.874463675,4,,low,0.594403836,3
131,information_technology,,,2,,high,0.443358134,3
173,management,,0.845233551,4,,medium,0.653069109,3
208,sales,,0.806677703,3,,low,0.28573934,5
199,engineering,,0.566893916,3,,medium,0.439294724,4
240,engineering,,0.897412243,4,,low,0.828578658,3
209,engineering,,0.666167221,6,,low,0.114232389,5
211,support,,,5,,medium,1,2
250,information_technology,,0.7247813,5,1,medium,0.49147053,2
232,sales,,0.530575611,4,,medium,0.81917022,3
193,engineering,,0.558620564,5,,low,0.648451087,3
256,sales,1,,3,,low,0.552993355,3
161,sales,,,4,,medium,0.572473467,3
213,support,,0.632915611,4,,medium,0.814501734,3
190,product,,0.949637115,4,,medium,0.840477583,2
159,finance,,0.953041517,3,,medium,0.677767724,2
96,marketing,,0.642785185,5,,medium,0.81222036,4
132,engineering,,0.506752706,2,,low,0.407763013,3
157,marketing,,0.468409032,3,,medium,1,3
128,engineering,,0.427692484,2,,medium,0.466035469,3
243,engineering,,,4,,low,0.799011379,2
228,sales,,,5,,medium,0.891158842,3
222,sales,,0.828163892,3,,low,0.836737376,2
223,sales,,0.959922269,5,,medium,0.921167661,3
134,engineering,,0.54904019,2,,medium,0.407306703,3
186,engineering,,0.59310111,5,,low,0.734751134,4
226,sales,,0.504518485,5,,medium,0.160633168,3
254,marketing,,0.863362622,4,,low,0.776353855,5
206,sales,1,,4,,high,0.516189839,2
178,engineering,,0.643539329,5,,medium,1,3
183,sales,,0.850204409,4,,medium,0.980615379,3
154,marketing,1,0.558385347,2,,medium,0.439684171,3
163,sales,,1,4,,medium,0.70706633,3
160,sales,,0.525571123,3,,low,0.686863668,3
170,engineering,,0.528774755,5,,high,0.605281041,4
167,marketing,,0.943821226,3,,medium,0.895447645,3
240,sales,,0.665528419,5,,medium,0.929931093,7
263,support,,0.798440283,4,,medium,0.960350233,3
219,sales,,0.712646255,5,,medium,0.208628589,4
186,marketing,,1,3,1,medium,0.590655094,3
184,sales,,0.769274401,3,,medium,0.938409924,4
201,IT,,0.899138644,4,,low,0.603827716,3
271,support,,0.740203001,4,,medium,0.500745103,3
104,sales,,0.730885495,3,,low,0.948565621,5
154,engineering,,0.882428721,5,,medium,0.942030266,2
305,product,,0.838046358,7,,low,0.072992012,4
223,product,1,,4,,low,1,2
121,support,,0.529949693,3,,low,0.499772484,4
258,sales,,0.982077795,4,,medium,0.487582177,3
141,IT,,1,4,,low,0.452423522,2
159,engineering,,0.468233005,4,,medium,0.40815139,4
233,IT,1,,3,,low,0.78704061,3
193,engineering,,0.855422778,5,,medium,0.856641161,5
151,engineering,,0.535789527,2,,medium,0.513012986,3
246,,,0.725905434,3,,low,0.765107959,3
208,management,1,1,5,,medium,0.733929989,8
243,sales,,0.66354593,3,,medium,0.727829025,2
169,engineering,1,0.540012594,3,,high,0.529907899,2
252,engineering,,1,4,,medium,0.706676355,5
271,sales,,,4,,medium,0.641460851,2
167,finance,,0.684605059,3,,medium,0.675726699,3
192,support,,0.447501021,4,,low,0.524983186,2
148,engineering,,0.457241259,2,,medium,0.399060856,3
177,sales,,0.883327628,3,,medium,0.698917054,3
219,IT,,0.394113975,5,,medium,0.510487995,4
151,information_technology,,0.964772768,5,,medium,0.829596995,3
249,product,,0.790814373,5,,medium,0.721534882,5
193,management,,0.965108959,3,1,high,0.264822774,10
215,sales,,0.709348496,3,,high,0.67169655,6
132,finance,,,2,,low,0.416456314,3
217,sales,,0.675179731,3,,medium,0.753794509,2
266,sales,1,0.520751131,3,,medium,0.965999765,3
99,IT,1,0.860088868,3,,medium,0.198277826,5
217,sales,,0.630010131,5,,low,0.884614614,3
225,marketing,,0.464800792,4,,medium,0.91544273,3
249,product,,0.806344878,5,,medium,0.696256843,5
147,marketing,,0.848586382,4,,low,0.177983586,4
270,sales,1,0.651678689,4,,medium,0.926112969,3
133,sales,,1,3,,low,0.787136149,4
