,avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
11432,256,procurement,,0.542984438,5,,medium,0.509731616,Employed,3
11433,148,product,,0.945407648,3,,medium,0.706554362,Employed,2
11434,274,IT,,0.918925677,4,,low,0.904038632,Left,5
11435,88,temp,,,1,,medium,,Employed,
11436,225,sales,,0.476891253,4,,medium,0.969827784,Employed,3
11437,199,sales,,1,3,,medium,0.455082584,Employed,3
11438,253,finance,,0.7613175,3,,low,0.907033339,Employed,4
11439,217,sales,,,5,,medium,0.781289489,Employed,2
11440,233,finance,,0.695166256,4,,medium,0.883219027,Employed,3
11441,135,sales,1,0.675596054,4,,low,0.994338274,Employed,2
11442,210,product,,0.810114688,4,,medium,0.53578557,Employed,2
11443,282,engineering,,0.68070383,7,,low,0.149831625,Left,5
11444,157,information_technology,,0.770100231,3,,low,0.502372419,Employed,3
11445,166,support,,0.501198785,2,,medium,0.345552704,Employed,3
11446,194,sales,1,0.776982556,3,,low,0.627145603,Employed,4
11447,163,sales,1,0.712559305,3,,medium,0.728121416,Employed,3
11448,179,sales,,0.626729276,3,,low,0.857125348,Employed,2
11449,298,sales,,0.854165523,6,,low,0.129394374,Left,4
11450,136,engineering,,0.455199771,2,,medium,0.40296531,Left,3
11451,148,engineering,,0.581015326,2,,medium,0.355463524,Left,3
11452,157,sales,1,0.717161198,2,,medium,0.545332367,Employed,2
11453,187,IT,,0.660305454,4,,low,0.936029238,Employed,2
11454,146,information_technology,,,2,,low,0.430571371,Left,3
11455,176,product,1,0.804183385,4,,high,0.271381529,Employed,6
11456,271,sales,,0.677930025,4,,low,0.728467543,Employed,3
11457,245,sales,,0.831925895,5,,low,0.749456404,Left,5
11458,127,management,,0.538338296,2,,medium,0.418460469,Left,3
11459,244,finance,,0.83432896,6,,low,0.10550614,Left,4
11460,255,sales,,0.665705167,4,,low,0.699752364,Employed,5
11461,151,IT,,0.579692019,2,,low,0.401741342,Left,3
11462,169,sales,,0.791071081,4,,low,0.506890369,Employed,2
11463,224,support,,0.479779012,3,,medium,1,Employed,4
11464,159,sales,,0.504138051,2,,low,0.442861858,Left,3
11465,170,product,1,,5,,medium,0.850975021,Employed,3
11466,239,sales,,0.891239736,4,,low,0.872303671,Left,5
11467,196,sales,,0.984729495,5,,medium,0.471608488,Employed,4
11468,123,sales,,0.347340926,3,,medium,0.439555907,Employed,2
11469,130,support,,0.506342553,2,,medium,0.450085094,Left,3
11470,158,engineering,,0.540869486,5,,medium,0.656391665,Employed,3
11471,200,engineering,,0.917300956,3,,high,0.61869304,Employed,3
11472,153,finance,,0.448672226,2,,low,0.406215838,Left,3
11473,153,marketing,,0.715606166,4,,medium,0.811563521,Employed,2
11474,242,sales,,0.893123144,3,,high,0.67477319,Employed,10
11475,257,sales,,0.915106846,6,,low,0.117709861,Left,4
11476,155,sales,,0.999210471,2,,low,0.647376868,Left,5
11477,271,sales,,0.924442343,6,,low,0.089986659,Left,4
11478,261,engineering,,0.854614147,7,,low,0.132620541,Left,5
11479,190,sales,,0.684663104,5,,medium,0.744797076,Employed,2
11480,196,sales,,0.508791064,4,,low,0.897575801,Employed,2
11481,133,support,,0.89077893,4,,medium,0.281780284,Employed,6
11482,151,,,0.54590273,2,,medium,0.375162448,Left,3
11483,266,marketing,,0.785415679,4,,medium,0.531684988,Employed,3
11484,251,procurement,,0.589794614,3,,medium,0.66150292,Employed,2
11485,252,management,,0.861853859,4,,medium,0.742811407,Employed,3
11486,253,marketing,,1,4,,low,0.742823861,Left,5
11487,266,support,,0.888645363,6,,medium,0.110050368,Left,4
11488,196,sales,,0.517926054,2,,low,0.719714126,Employed,3
11489,305,finance,,0.827805637,6,,medium,0.083521395,Left,4
11490,152,sales,,0.487162521,2,,high,0.407064308,Left,3
11491,215,sales,1,0.61787238,5,,medium,0.812844944,Employed,2
11492,160,support,,,2,,low,0.390793111,Left,3
11493,239,sales,,0.756458244,3,,low,0.144811523,Employed,6
11494,226,sales,,0.814475547,5,,medium,0.160272585,Employed,3
11495,220,support,,0.898860858,3,,low,0.951614958,Employed,3
11496,135,IT,,0.669564175,4,,high,0.436604136,Employed,2
11497,226,engineering,,0.496213252,2,,low,0.417606534,Employed,3
11498,226,IT,,0.646907051,5,,medium,0.50271445,Employed,3
11499,152,engineering,,0.564566223,2,,low,0.399600534,Left,3
11500,195,engineering,,,5,,low,0.856397938,Employed,3
11501,212,sales,,0.76907581,3,,medium,0.981902103,Employed,3
11502,171,,,0.974082844,4,,medium,0.726772739,Employed,2
11503,165,engineering,1,0.71154363,4,,medium,0.573526182,Employed,4
11504,163,support,,0.486176477,3,,medium,0.832118027,Employed,3
11505,238,,,,4,,low,0.615123853,Left,3
11506,264,sales,,0.601641496,3,,medium,0.965691313,Employed,2
11507,274,,,1,5,,low,0.828587128,Left,5
11508,161,IT,,0.611810859,4,,low,0.908824996,Employed,3
11509,234,IT,1,,4,,medium,0.620067951,Employed,2
11510,157,admin,,0.615281701,3,,medium,0.74824012,Employed,2
11511,98,sales,,,6,,low,0.863905128,Employed,3
11512,129,support,,0.517917509,2,,low,0.408524764,Left,3
11513,153,engineering,,0.671329743,3,,low,0.532547861,Employed,3
11514,231,support,,,3,,medium,0.766310108,Employed,2
11515,145,engineering,,0.505864548,2,,medium,0.552376872,Employed,5
11516,166,engineering,,0.740931343,2,,low,0.743431849,Employed,3
11517,264,support,,0.848914355,4,,low,0.934212778,Left,6
11518,161,sales,1,,3,,medium,0.718939137,Employed,2
11519,183,procurement,,0.567723846,4,,low,0.540291837,Employed,3
11520,68,temp,1,,1,,low,,Left,
11521,170,engineering,,0.750793526,6,,low,0.111065547,Employed,3
11522,232,product,1,0.484471282,3,,low,0.780422951,Employed,3
11523,164,finance,,0.800727461,3,,medium,0.966760827,Employed,2
11524,250,marketing,,0.879590262,6,,medium,0.788683242,Employed,2
11525,180,support,,0.888614409,3,,medium,0.848466095,Employed,2
11526,247,admin,,0.43821524,4,,medium,0.44076664,Employed,3
11527,203,support,,0.813183486,3,,medium,0.796374678,Employed,3
11528,117,sales,,0.948659522,6,,medium,0.139179633,Employed,7
11529,137,support,,0.600067159,4,,medium,0.909397343,Employed,2
11530,177,finance,,0.731806656,4,,low,0.700333411,Employed,3
11531,174,finance,,0.744834445,5,,high,0.529674361,Employed,3
11532,263,support,,0.801775505,4,,medium,0.891971863,Employed,3
11533,143,support,,0.545874033,2,,low,0.42503779,Left,3
11534,252,sales,1,0.676741074,4,,medium,0.597250944,Employed,3
11535,265,product,,0.655318318,3,,medium,0.725558146,Employed,3
11536,146,sales,1,0.475898333,4,,medium,0.398743479,Employed,3
11537,256,,,0.430148987,4,,low,0.221994791,Employed,5
11538,233,engineering,,0.752626507,5,,high,0.719872858,Employed,3
11539,238,,1,0.739195996,4,,low,0.62374144,Employed,5
11540,244,sales,,0.507410514,5,,medium,0.692799261,Employed,4
11541,135,sales,,,2,,medium,0.401814525,Left,3
11542,270,sales,,,3,,medium,0.961367826,Employed,3
11543,135,sales,,0.538431005,2,,low,0.481314731,Left,3
11544,189,support,,,4,,medium,0.674973755,Employed,2
11545,225,finance,,0.652258065,5,,medium,0.719194901,Employed,3
11546,191,engineering,,0.665423993,3,,low,0.643519512,Employed,3
11547,237,marketing,1,0.967121114,4,,medium,0.721329296,Employed,3
11548,227,sales,1,0.727027787,5,,medium,0.678269499,Employed,3
11549,248,sales,,0.507900017,3,,low,0.779711432,Employed,4
11550,218,sales,,0.703422686,6,,medium,0.399755764,Employed,6
11551,271,product,,0.818123134,5,,low,0.692901385,Employed,4
11552,262,IT,,0.726147436,4,,low,0.884823512,Employed,2
11553,179,marketing,,0.447264734,4,,low,0.628314624,Employed,3
11554,253,support,,0.852173365,6,,low,0.072781214,Left,4
11555,237,sales,,0.910993568,5,,medium,0.885366176,Left,5
11556,254,engineering,,0.913672152,6,,low,0.085266707,Left,4
11557,272,finance,,0.848143767,7,,low,0.129462237,Left,4
11558,256,marketing,,0.944467863,7,,medium,0.108002248,Left,4
11559,134,support,1,0.736115583,3,,low,0.677039812,Employed,3
11560,221,product,,1,5,,low,0.766439104,Left,5
11561,125,management,,0.689589592,3,,medium,0.32105464,Employed,3
11562,220,sales,,0.433011289,5,,low,0.574210145,Left,4
11563,236,IT,,,2,,medium,0.841650406,Employed,3
11564,158,sales,,,2,,low,0.425986508,Left,3
11565,141,support,,0.503454034,4,,medium,0.777700016,Employed,3
11566,242,support,,0.616860859,4,,low,0.892032457,Employed,4
11567,205,sales,,1,4,1,medium,0.883033762,Employed,2
11568,246,support,,0.645926979,4,,medium,0.925466426,Employed,2
11569,144,engineering,,0.800164289,4,,medium,0.947398596,Employed,4
11570,178,IT,,0.690528028,4,,medium,0.552321832,Employed,8
11571,229,sales,,0.717835708,4,,medium,0.69297883,Employed,3
11572,135,,,0.8028506,4,,low,0.667746083,Employed,2
11573,249,IT,,0.957642886,4,,low,0.762855182,Left,5
11574,219,engineering,,,2,,low,0.390928762,Employed,2
11575,152,sales,,0.825790972,4,,low,0.846769286,Employed,7
11576,174,support,,0.97476631,3,,low,0.279858952,Employed,6
11577,272,product,,0.738935232,3,,low,0.629692472,Employed,2
11578,146,engineering,1,0.59734077,3,,medium,0.117661759,Employed,6
11579,194,engineering,,0.669918009,6,,low,0.204712774,Employed,3
11580,173,sales,,0.579738081,6,,low,0.145654173,Employed,4
11581,239,,,,4,1,high,0.590319492,Employed,2
11582,264,procurement,,0.791908961,3,,low,0.972331467,Employed,3
11583,218,engineering,,1,5,,medium,0.879017557,Left,5
11584,156,engineering,,0.722382325,2,,medium,0.648702376,Employed,3
11585,180,engineering,1,0.626587751,3,,low,0.52082666,Employed,2
11586,194,procurement,1,0.809815566,4,,low,0.867009224,Employed,3
11587,139,support,,0.345532392,5,,medium,0.345729233,Employed,4
11588,280,information_technology,1,0.832637366,5,,high,0.102248748,Employed,3
11589,249,product,,0.79513098,4,,medium,0.592333311,Employed,10
11590,193,support,,0.556287945,4,,medium,0.739278663,Employed,3
11591,262,support,,0.566443646,5,,medium,0.572875524,Employed,3
11592,246,,,0.89978978,4,,low,0.794377127,Left,6
11593,247,,,0.37312172,3,,medium,0.186188627,Employed,4
11594,159,IT,,0.510608023,2,,medium,0.395895018,Left,3
11595,148,sales,,0.912356757,4,,low,0.708413826,Employed,2
11596,249,marketing,,0.838055064,4,,low,0.862591852,Left,6
11597,168,sales,,0.643553454,3,,low,0.489558558,Employed,3
11598,140,marketing,,0.833000011,4,,medium,0.866202881,Employed,8
11599,252,support,,0.609132567,4,,medium,0.986989857,Employed,2
11600,104,engineering,,0.451407735,6,,low,1,Employed,6
11601,236,product,,0.723485533,3,,medium,0.746263977,Employed,4
11602,226,,,0.91836623,4,,medium,0.749011678,Employed,3
11603,153,marketing,,0.941924915,3,,high,0.97770648,Employed,4
11604,283,IT,,0.909019841,6,,low,0.154657327,Left,5
11605,181,support,,0.5471966,4,,low,0.508659131,Employed,3
11606,202,support,,,3,,low,0.642781154,Employed,3
11607,224,support,,0.891693497,3,,low,0.612906093,Employed,3
11608,199,engineering,,0.483357756,3,,medium,1,Employed,10
11609,301,finance,,0.923808291,6,,low,0.178418911,Left,4
11610,219,engineering,,0.337588408,2,,low,0.459678677,Employed,2
11611,172,engineering,1,0.863040931,6,,medium,0.256079072,Employed,6
11612,137,marketing,1,1,3,,low,0.988389791,Employed,4
11613,174,finance,,0.59844765,3,,medium,0.640571097,Employed,2
11614,166,product,,0.751252459,4,,medium,0.949777877,Employed,3
11615,153,finance,,0.499267481,2,,low,0.437912473,Left,3
11616,268,sales,,,3,,medium,0.842297122,Left,2
11617,134,sales,,0.642092959,5,,medium,0.770906976,Employed,2
11618,174,sales,,0.689128188,5,,medium,0.729598156,Employed,3
11619,181,sales,1,0.488893995,4,,low,0.636554796,Employed,3
11620,168,management,,0.679743269,4,,medium,0.59482977,Employed,4
11621,167,,,0.668169774,2,,low,0.650213941,Employed,2
11622,217,sales,,,4,,low,0.887157608,Employed,3
11623,219,engineering,,0.803770158,4,,medium,0.940131185,Employed,3
11624,197,support,1,,3,,medium,0.712622517,Employed,3
11625,258,support,,0.855048898,5,,low,0.889621195,Left,5
11626,187,admin,,,4,,low,0.634591969,Employed,2
11627,225,engineering,,0.714538602,4,,low,0.656735819,Employed,2
11628,255,finance,,0.62054747,2,,low,0.898712062,Employed,4
11629,129,marketing,,0.44902451,2,,low,0.383559301,Left,3
11630,274,sales,1,0.824985475,5,,low,0.655138293,Employed,2
11631,121,sales,1,0.579052828,5,,low,0.246469654,Employed,3
11632,156,finance,,0.444913192,2,,high,0.391679463,Left,3
11633,155,sales,,0.70700007,3,,low,0.999556116,Employed,2
11634,132,support,,,3,,medium,0.738360968,Employed,2
11635,266,engineering,,0.602712726,3,,high,0.752741898,Employed,2
11636,158,product,1,0.42017078,5,,medium,0.993361197,Employed,4
11637,160,support,,0.59628139,2,,low,0.378214141,Left,3
11638,132,engineering,,0.483398204,2,,low,0.432105692,Left,3
11639,244,product,,,3,,low,0.752764896,Employed,2
11640,157,product,,0.672916271,5,,low,0.682967337,Employed,2
11641,162,sales,,0.847222218,3,,medium,0.809305061,Employed,3
11642,223,support,,,4,,low,0.932181079,Employed,3
11643,187,sales,,0.638148974,5,,low,0.918474624,Employed,3
11644,123,IT,,0.92493486,5,,low,0.862615421,Employed,5
11645,208,sales,,0.523673274,4,,high,0.568809982,Employed,5
11646,255,support,,0.512311301,5,,medium,0.632264566,Employed,3
11647,209,,,0.616539648,3,,medium,0.253508946,Employed,5
11648,233,sales,,0.553916335,4,,low,0.933313688,Employed,3
11649,189,sales,,0.801747831,4,,medium,0.557363092,Employed,3
11650,241,marketing,,0.641186139,3,,medium,0.621370473,Employed,3
11651,161,engineering,,0.976966377,3,,low,0.845956345,Employed,3
11652,157,engineering,,0.584180676,4,,low,0.53401195,Employed,2
11653,146,sales,,0.558557281,2,,low,0.435013077,Left,3
11654,274,admin,,0.810377217,4,,high,0.872977638,Employed,3
11655,163,sales,,0.753988628,4,1,medium,0.483513487,Employed,4
11656,181,sales,,0.802460469,4,,low,0.908056593,Employed,3
11657,116,engineering,1,0.667968723,5,,high,0.339059249,Employed,5
11658,203,engineering,,0.629254381,4,,low,0.197663636,Employed,4
11659,225,procurement,,0.933783154,4,1,medium,0.948014768,Employed,2
11660,259,sales,,1,4,,low,0.773624509,Left,5
11661,143,engineering,,0.791326721,4,,medium,0.835745565,Employed,2
11662,124,temp,,,1,,medium,,Employed,
11663,135,sales,,0.772028119,3,,medium,0.831472568,Employed,7
11664,148,engineering,,0.588801519,2,,medium,0.444250141,Left,3
11665,194,sales,,0.432389908,2,,medium,0.60145901,Employed,2
11666,142,sales,,0.535970205,3,,medium,0.575493148,Employed,2
11667,159,sales,,0.490760452,2,,low,0.427291344,Left,3
11668,271,engineering,1,0.964207637,3,,medium,0.571495304,Employed,3
11669,127,engineering,,0.453934777,2,,low,0.374536738,Left,3
11670,143,admin,,,3,,low,0.740409001,Employed,3
11671,163,procurement,,0.800400515,5,,low,0.181796155,Employed,6
11672,168,support,,0.747791522,2,,low,0.869815076,Employed,3
11673,259,product,,1,5,,low,0.80033731,Left,6
11674,233,IT,,0.95892853,4,,medium,0.998545346,Employed,6
11675,233,support,,0.903100038,2,,low,0.927884449,Employed,3
11676,276,support,,0.768480635,5,,low,0.079753942,Left,4
11677,259,support,,0.944930746,6,,low,0.112015881,Left,4
11678,294,,,0.626464365,3,,low,0.787255201,Left,4
11679,185,support,,0.500867814,3,,low,0.657353524,Employed,3
11680,155,product,,0.81514725,4,,low,0.309794522,Employed,5
11681,200,information_technology,,0.619681131,3,,medium,0.994865844,Employed,2
11682,246,sales,,0.911057157,4,,low,0.773665134,Left,5
11683,157,IT,,0.867583228,3,,low,0.496436595,Employed,3
11684,269,sales,1,0.802620805,3,,medium,0.77357831,Employed,3
11685,177,sales,1,0.73556159,5,,medium,0.638771397,Employed,2
11686,140,support,,0.461144322,2,,medium,0.431784414,Left,3
11687,273,product,,0.747428457,4,,low,1,Employed,2
11688,163,marketing,,0.810411848,5,,medium,0.858778489,Employed,3
11689,149,engineering,,0.437580548,2,,medium,0.359536154,Left,3
11690,157,product,,0.433883642,2,,medium,0.499493471,Left,3
11691,286,sales,,0.800265224,2,,medium,0.51143408,Employed,6
11692,214,engineering,1,,4,,low,0.516768696,Employed,3
11693,146,sales,1,0.585968134,4,,low,0.633906888,Employed,4
11694,155,product,1,0.747088264,3,,low,0.660246424,Employed,4
11695,229,sales,,0.90055316,3,,low,0.942848863,Employed,3
11696,169,support,,0.683418397,3,,high,1,Employed,3
11697,217,support,,0.990686779,5,,medium,0.717499284,Left,6
11698,129,support,,0.890669745,4,,medium,1,Employed,5
11699,63,temp,,,1,,medium,,Left,
11700,304,sales,,0.916593758,6,,low,0.138117925,Left,4
11701,214,engineering,,0.67951314,4,,medium,0.482387837,Employed,3
11702,219,engineering,,0.791435375,5,,low,0.126087296,Employed,4
11703,143,engineering,,,2,,medium,0.450295972,Left,3
11704,181,,,,3,,low,0.843746865,Employed,3
11705,278,management,,0.48172402,4,,medium,0.8384186,Employed,3
11706,234,marketing,1,0.728536033,3,,medium,0.481906406,Employed,2
11707,163,engineering,,0.610717548,4,,low,0.642329767,Employed,3
11708,109,IT,,0.645521889,5,,high,0.854256095,Employed,2
11709,139,product,,0.870653969,4,,high,0.979082316,Employed,2
11710,154,engineering,,0.85877126,5,,medium,0.730601472,Employed,2
11711,159,finance,,0.961415587,3,,medium,0.735084374,Employed,2
11712,148,support,,0.510168079,2,,low,0.364352483,Left,3
11713,199,sales,,0.815565299,5,,medium,0.727308656,Employed,4
11714,167,marketing,,0.631391739,5,,medium,0.173957571,Employed,7
11715,236,,,0.954779188,5,,low,0.807370866,Left,5
11716,184,IT,,0.857911912,5,,low,0.773910401,Employed,3
11717,244,sales,,0.653079941,4,,low,0.793910675,Employed,2
11718,130,marketing,,0.484524251,2,,low,0.447217309,Left,3
11719,151,product,,,5,,medium,0.995995469,Employed,3
11720,111,sales,,0.568549485,6,,low,0.854287259,Employed,6
11721,245,product,,0.871648808,5,,low,0.828721341,Left,5
11722,267,sales,,0.8618691,4,,medium,0.805895837,Left,5
11723,287,finance,,0.870865883,6,,medium,0.06960906,Left,4
11724,228,IT,,0.810967801,4,,high,0.952958239,Employed,4
11725,219,engineering,1,0.856268717,2,,medium,0.60649343,Employed,2
11726,158,finance,,0.844273556,3,,medium,0.66184687,Employed,3
11727,229,product,,0.831175831,4,,medium,0.185943198,Employed,4
11728,147,sales,,0.516728678,4,,low,0.633097181,Employed,10
11729,212,sales,,0.622518931,3,,high,0.836145025,Employed,3
11730,208,finance,,0.699756351,4,,low,0.476215656,Employed,5
11731,259,engineering,,,5,,medium,0.689087535,Employed,3
11732,141,engineering,1,0.451822641,2,,low,0.407523553,Left,3
11733,239,engineering,,0.629906184,5,,low,0.707799448,Employed,4
11734,157,support,,0.675937443,5,,low,0.580983085,Employed,4
11735,271,support,,0.842446416,5,,low,0.090444307,Left,5
11736,207,engineering,1,1,4,,medium,0.753554038,Employed,2
11737,141,engineering,,0.472128267,2,,medium,0.325472921,Left,3
11738,270,sales,,0.783125235,4,,low,0.844297036,Left,5
11739,259,sales,,0.611600532,5,,low,0.756747534,Employed,3
11740,233,marketing,,,4,,high,0.800476755,Employed,2
11741,269,engineering,,0.736758858,5,,low,0.662935819,Employed,3
11742,168,sales,1,0.602498028,6,,high,1,Employed,5
11743,154,support,,0.604841576,2,1,medium,0.401025467,Left,3
11744,184,sales,,0.579097285,2,,medium,0.645018417,Employed,3
11745,140,sales,,0.519034732,2,,medium,0.423996638,Left,3
11746,192,engineering,,0.547018438,4,,low,0.622630993,Employed,3
11747,121,engineering,1,0.772771854,4,,low,0.489458747,Employed,5
11748,168,engineering,,0.540284546,3,,medium,0.749381634,Employed,2
11749,127,sales,,0.597759175,4,,low,0.143126735,Employed,8
11750,183,IT,,0.537691178,4,,low,0.521193875,Employed,3
11751,259,support,,0.813778262,5,,low,0.883301803,Left,5
11752,144,product,1,0.472129388,2,,low,0.380094983,Left,3
11753,258,IT,1,0.827997831,3,,low,0.612377443,Employed,3
11754,158,engineering,,0.5313891,2,,low,0.470484597,Left,3
11755,121,,,0.550256271,2,,low,0.469758271,Employed,5
11756,210,engineering,1,0.955836574,4,,low,0.554472696,Employed,3
11757,242,sales,,0.807379775,3,,low,0.881285494,Employed,6
11758,273,product,,0.790495449,4,,low,0.727837654,Employed,4
11759,256,support,,0.911942722,5,,low,0.779850843,Left,5
11760,273,management,,0.72767269,7,,low,0.166697935,Left,4
11761,145,sales,,0.531618991,2,,medium,0.379143963,Left,3
11762,243,engineering,,0.590305614,3,,medium,0.306482371,Employed,2
11763,192,finance,,0.547401855,3,,medium,0.604670533,Employed,3
11764,138,sales,,0.402051817,4,,low,0.291987426,Employed,4
11765,138,sales,1,,4,,high,0.103919499,Employed,3
11766,258,,,0.771906008,4,,medium,0.915405921,Employed,2
11767,260,sales,,0.897083766,4,,medium,0.566886224,Employed,2
11768,137,sales,,0.648888859,4,,medium,0.925078503,Employed,3
11769,280,engineering,,0.816946282,4,,high,0.178987731,Employed,6
11770,217,support,,0.879172363,4,,medium,0.773853326,Left,6
11771,253,management,,0.749849531,3,,high,0.708264601,Employed,3
11772,206,engineering,,0.835228837,6,,medium,0.594842662,Employed,6
11773,191,marketing,,,4,,medium,0.380337921,Employed,2
11774,162,IT,,0.774765731,3,,high,0.599631079,Employed,2
11775,182,sales,,,3,,low,0.599962654,Employed,2
11776,223,sales,,0.59524888,5,,low,0.857215138,Employed,3
11777,292,sales,,0.764843985,6,,medium,0.148584696,Left,4
11778,168,engineering,,,4,,low,0.714431146,Employed,3
11779,215,sales,,0.591860778,4,,low,0.591568346,Employed,2
11780,193,engineering,,0.803746881,5,,high,0.917416632,Employed,4
11781,178,engineering,1,0.743453283,3,,low,0.191850095,Employed,3
11782,143,support,,0.776198908,5,,medium,0.538103833,Employed,5
11783,236,engineering,,0.978723171,3,,medium,0.172567,Employed,3
11784,191,engineering,,0.881360772,3,,low,0.711844375,Employed,4
11785,212,engineering,,0.598742072,2,,medium,0.814787234,Employed,2
11786,255,IT,,0.977084893,3,,low,0.951893142,Employed,3
11787,259,engineering,,0.876943427,6,,medium,0.078789038,Left,4
11788,272,sales,,0.799187584,5,,low,0.20781705,Employed,2
11789,192,marketing,1,0.759710576,3,,low,0.615641413,Employed,3
11790,151,sales,,0.51506155,2,,low,0.364744157,Left,3
11791,181,sales,,0.580317339,4,,medium,0.830063438,Employed,2
11792,167,,,,3,,low,0.928461275,Employed,3
11793,239,sales,,0.859589455,5,,low,0.807596406,Left,5
11794,277,engineering,,0.978015677,6,,low,0.145738957,Left,5
11795,212,sales,,0.601091873,6,,medium,0.896396418,Employed,2
11796,191,IT,,0.624027972,3,,high,0.537310197,Employed,3
11797,168,support,,0.525300817,4,,low,0.505610043,Employed,8
11798,160,product,,0.491377477,3,,medium,0.521366402,Employed,3
11799,244,engineering,,0.686772955,5,,low,0.879975492,Employed,2
11800,277,IT,,0.958933682,2,,medium,0.77060482,Left,3
11801,239,sales,1,0.877824351,2,,medium,1,Employed,6
11802,114,support,,0.846138479,6,,high,0.735802675,Employed,4
11803,183,marketing,,0.577495303,4,,low,1,Employed,3
11804,137,,,0.571708538,3,,medium,0.712354395,Employed,3
11805,230,engineering,,0.515942347,4,,medium,0.701417366,Employed,3
11806,260,engineering,,0.884551601,6,,medium,0.405578858,Employed,3
11807,100,sales,,0.676394239,6,,medium,0.2809878,Employed,4
11808,243,engineering,,0.711227664,5,,low,0.830001339,Employed,2
11809,222,product,,0.939337447,5,,low,0.814844871,Left,6
11810,128,engineering,,0.495993524,2,,medium,0.447345576,Left,3
11811,235,engineering,,0.658330803,3,,low,0.836560325,Employed,10
11812,273,support,,0.527794816,2,,low,0.946442221,Employed,3
11813,142,engineering,,0.839474888,4,,high,0.98221429,Employed,10
11814,157,sales,,,2,,low,0.437279263,Left,3
11815,244,support,,0.92965769,7,,low,0.116044848,Left,4
11816,226,sales,,0.860300963,4,,medium,0.790596706,Left,5
11817,134,engineering,,0.41155364,2,,medium,0.435726716,Left,3
11818,179,,,0.588933757,5,,low,0.4124177,Employed,5
11819,235,sales,,0.760609399,4,,medium,0.920799037,Employed,6
11820,129,sales,,0.554484946,2,,low,0.452822777,Left,3
11821,142,sales,,0.875330895,3,,medium,0.961843912,Employed,4
11822,164,support,,0.548967495,3,,low,0.695223657,Employed,6
11823,243,sales,,0.64255015,3,,low,0.705704344,Employed,3
11824,156,support,,0.639751084,5,,medium,0.66447304,Employed,2
11825,233,sales,,0.803133829,6,,low,0.805274608,Employed,6
11826,218,marketing,,0.56248347,4,,medium,0.285758512,Employed,5
11827,229,management,,1,5,,low,0.730708142,Left,5
11828,262,engineering,,0.961219231,5,,low,0.853950492,Left,5
11829,164,sales,,0.516957267,3,,medium,0.715521337,Employed,7
11830,142,sales,,,2,,low,0.4390112,Left,3
11831,258,sales,,1,2,,medium,0.957386175,Employed,3
11832,156,support,,0.814877107,4,,low,0.734529012,Employed,2
11833,141,sales,,0.716308463,4,,low,0.298746342,Left,2
11834,147,product,,0.568672097,2,,medium,0.402472261,Left,3
11835,194,sales,1,0.71934261,5,,medium,0.922843448,Employed,4
11836,130,sales,,0.523649547,2,,low,0.401023014,Left,3
11837,297,,,0.86067626,6,,medium,0.064418238,Left,4
11838,218,finance,1,0.709826933,3,,medium,0.951329969,Employed,3
11839,271,sales,,0.857754408,5,,low,0.145625526,Left,4
11840,214,management,,0.518390368,4,1,medium,0.762576382,Employed,3
11841,243,sales,1,0.929090046,3,,medium,0.656203909,Employed,3
